AllGenes	MAPK signaling pathway	ErbB signaling pathway	Ras signaling pathway	Rap1 signaling pathway	Calcium signaling pathway	cGMP-PKG signaling pathway	cAMP signaling pathway	Chemokine signaling pathway	NF-kappa B signaling pathway	HIF-1 signaling pathway	FoxO signaling pathway	Sphingolipid signaling pathway	Phospholipase D signaling pathway	p53 signaling pathway	mTOR signaling pathway	PI3K-Akt signaling pathway	AMPK signaling pathway	Wnt signaling pathway	Notch signaling pathway	Hedgehog signaling pathway	TGF-beta signaling pathway	VEGF signaling pathway	Apelin signaling pathway	Hippo signaling pathway	Toll-like receptor signaling pathway	NOD-like receptor signaling pathway	RIG-I-like receptor signaling pathway	C-type lectin receptor signaling pathway	JAK-STAT signaling pathway	IL-17 signaling pathway	T cell receptor signaling pathway	B cell receptor signaling pathway	Fc epsilon RI signaling pathway	TNF signaling pathway	Neurotrophin signaling pathway	Insulin signaling pathway	GnRH signaling pathway	Estrogen signaling pathway	Prolactin signaling pathway	Thyroid hormone signaling pathway	Adipocytokine signaling pathway	Oxytocin signaling pathway	Glucagon signaling pathway	Relaxin signaling pathway	AGE-RAGE signaling pathway in diabetic complications	Cell cycle
CACNA2D1	CACNB1	EGFR	RASGRP2	PLCB4	GRIN2A	GUCY1A2	C16010	PIK3R1	IL1B	ERBB2	CSNK1E	ADORA1	PLCB1	BCL2	DVL2	LAMC3	CRTC2	DVL3	NOTCH2	ARRB1	SMAD2	NRAS	PDE3B	DLG4	IRF5	TXNIP	IFIH1	CALML6	EGF	test	FOS	RASGRP3	FCER1A	MAPK1	MAPK14	SOCS4	MAP3K2	PLCB3	SOCS7	PLCD4	ACSBG2	PLA2G4D	CALML6	PIK3R2	DIAPH1	CHEK2
CACNB1	CACNB2	ERBB2	GNB5	PLCG1	GRIN2C	GUCY1A1	C16012	PIK3R2	IL1R1	AKT1	EGF	ADORA3	PIP5K1C	BCL2L1	DVL3	CREB3	AKT1	EP300	NOTCH3	ARRB2	SMAD3	PPP3CA	PLAT	DVL1	IRF7	PYDC5	AZI2	AKT1	EGFR	test	FYN	DAPP1	MS4A2	MAPK3	CALML6	CRK	CALML6	PLCB4	HRAS	PIK3R3	CD36	GUCY1A2	CRTC2	PLCB2	AGER	CREBBP
CACNB2	CACNB3	ERBB3	RALBP1	RRAS	GRIN2D	GUCY1B1	C16013	PLCB2	IRAK1	AKT2	EGFR	MAPK14	PIK3R5	BID	EIF4EBP1	GNB5	AKT2	DKK1	NOTCH4	DHH	SMAD5	PPP3CB	PLCB2	DVL2	JUN	SUGT1	MAP3K7	AKT2	EP300	test	LAT	GRB2	FYN	MAPK8	AKT1	CRKL	HBEGF	AKT3	JAK2	PLCZ1	CAMKK2	GUCY1A1	EP300	PLCB3	AGTR1	GADD45A
CACNB3	CACNB4	ERBB4	RASSF1	RASGRP2	SLC25A4	NOS3	C16021	PLCB3	LTA	MTOR	AKT1	CTSD	PIK3CA	TP53AIP1	FLCN	YWHAQ	TBC1D1	DAAM1	APH1A	CSNK1G1	SMAD6	PPP3CC	PLCB3	DVL3	MYD88	RIPK3	TRAF2	FCER1G	EPO	test	GRB2	BLNK	LAT	MAPK11	AKT2	CALML6	EGFR	NCOA2	KRAS	AKT3	CHUK	GUCY1B1	AKT1	PLCB4	AKT1	E2F1
CACNB4	CACNG1	EREG	CHUK	RAPGEF3	SLC25A5	NPR1	C16022	PLCB4	LTB	MKNK2	AKT2	S1PR1	PIK3CB	SIAH1	AKT1	CHAD	MTOR	FBXW11	DLL4	PRKACA	SMAD7	PPP3R1	PLCB4	WWC1	NFKB1	NLRP3	TRAF3	RRAS2	EPOR	test	GSK3B	HRAS	GRB2	MAPK9	FOXO3	EIF4EBP1	GNA11	CALML6	LHB	MED16	MTOR	NOS3	AKT2	PIK3R3	AKT2	E2F2
CACNG1	CACNA1I	AKT1	RASGRP4	RGS14	SLC25A6	NPR2	C16048	PIK3R3	LTBR	HIF1A	FOXO1	S1PR3	PIK3CD	TP53	AKT2	CDC37	EEF2K	FRAT2	MAML3	PRKACB	SMAD9	PPP3R2	ADCY10	FBXW11	NFKBIA	CHUK	TRAF6	MRAS	AKT1	test	ICOS	IKBKB	HRAS	MAPK10	GAB1	AKT1	GNAQ	HBEGF	LHCGR	NCOA2	IKBKB	NPR1	FOXO1	AKT3	HRAS	E2F3
CACNA1I	CACNA1H	AKT2	CSF1	RAPGEF4	ITPKA	PLCB2	C16088	AKT3	MYD88	IFNG	FOXO3	AKT1	PIK3CG	CASP8	RNF152	CHRM1	HNF4A	DAAM2	PSENEN	PRKACG	MYC	PRKCA	SPHK2	SCRIB	IRAK4	CARD16	TRIM25	ARHGEF12	AKT2	test	HRAS	KRAS	KRAS	MAPK13	SHC2	AKT2	GNAS	EGFR	SHC4	MED12L	JAK2	NPR2	SIK2	INSL5	JAK2	E2F4
CACNA1H	CACNA1G	MTOR	CSF1R	CNR1	ITPKB	PLCB3	C16089	RASGRP2	NFKB1	IFNGR1	SGK3	AKT2	PIK3R1	CASP9	ATP6V1C2	CHRM2	IGF1	FZD2	PSEN1	SMURF1	NODAL	PRKCB	RYR1	FZD2	TLR7	NEK7	DHX58	CLEC4E	FHL1	test	IKBKB	LYN	LCP2	MAP2K1	SH2B1	FOXO1	GNRH1	AKT1	NFKB1	CREBBP	LEP	PLA2G4A	GCG	CREB3	JUN	E2F5
CACNA1G	CACNA2D2	GAB1	CALML6	ADORA2A	ITPR1	PLCB4	C16119	CCL26	NFKB2	IFNGR2	GRB2	FCER1A	PIK3R2	TNFRSF10B	MTOR	CHUK	IGF1R	BAMBI	PSEN2	PTCH1	PPP2CA	PRKCG	RYR2	WWTR1	TLR8	MAPK14	NLRX1	PYCARD	GH1	test	ITK	NFKBIA	LYN	MAP2K3	BEX3	EXOC7	GNRH2	AKT2	NRAS	EP300	LEPR	PLCB2	GCGR	GNB5	KRAS	EP300
CACNA2D2	CACNA2D4	SHC2	EFNA1	ADORA2B	ITPR2	AKT3	C18182	VAV3	NFKBIA	IGF1	GRM1	MS4A2	PLCB2	CCNB1	RICTOR	THEM4	INS	CACYBP	RFNG	HHIP	PPP2CB	MAPK1	RYR3	LATS2	PIK3CA	TICAM1	SIKE1	CD209	GH2	test	JUN	NFKBIB	NRAS	MAP2K6	RPS6KA6	MTOR	GNRHR	ESR1	SHC3	AKT1	NFKB1	PLCB3	GNAQ	RLN3	SMAD2	ORC6
CACNA2D4	AKT3	GRB2	EFNA2	CRK	ITPR3	KCNMB2	C20792	CXCL13	IRAK4	IGF1R	HRAS	FCER1G	PLCB3	CCND2	FZD2	PIK3AP1	INSR	DKK4	ADAM17	SHH	PPP2R1A	MAPK3	SPHK1	AMH	PIK3CB	CTSB	CASP8	HRAS	GHR	test	KRAS	NFKBIE	PDPK1	MAP2K7	GRB2	SHC2	GRB2	ESR2	MAPK1	AKT2	ADIPOR1	PLCB4	GNAS	RXFP2	SMAD3	ORC3
AKT3	PPP5D1	NRG1	EFNA3	CRKL	ATP2A1	MRVI1	C20793	CXCR6	PRKCB	IL6	PRMT1	FYN	PLCB4	CCNE1	RPS6KA6	COL1A1	IRS1	DKK2	APH1B	SMURF2	PPP2R1B	MAPK11	AKT3	CTNNA3	PIK3CD	PYDC2	CASP10	CLEC4D	IFNL2	test	LCK	NRAS	MAPK1	RELA	RAPGEF1	MKNK2	HRAS	GABBR1	MAPK3	MED13L	PRKAG2	PLA2G4C	PRMT1	CREB1	NFKB1	CDC26
PPP5D1	RASGRP1	HRAS	EFNA4	CSF1	ATP2A2	GNA13	ADCY1	GNB5	PRKCQ	IL6R	IGF1	GNA12	PLCG1	CCNB2	GRB2	COL1A2	LEP	INVS	MAML2	SMO	SMURF1	MAPK13	HDAC5	GSK3B	PIK3R1	CYBB	IKBKG	IKBKB	IFNL3	test	NCK1	PPP3CA	MAPK3	MAPK12	HRAS	GRB2	KRAS	SHC2	MAPK8	SIN3A	PRKAG3	JMJD7-PLA2G4B	ATF4	ATF2	NOS3	ABL1
RASGRP1	RASGRP2	ARAF	EFNA5	CSF1R	ATP2A3	ADORA1	ADCY2	CCR9	RELA	INS	IGF1R	GNAI1	PLCG2	CCNE2	GRB10	COL2A1	RAB8A	GSK3B	NUMB	SPOP	RBL1	MAP2K1	MEF2B	APC	PIK3R2	NLRP6	TRADD	IRF1	IFNL1	test	NFATC1	PPP3CB	MAP2K1	MAP2K4	IKBKB	RAPGEF1	MAP3K1	GNAI1	MAPK11	KAT2A	PRKAA1	CD38	PRKAG2	ATF6B	NRAS	ANAPC13
RASGRP2	TAB1	AREG	EGF	CTNNB1	ATP2B1	ADORA3	ADCY3	CCL27	RELB	INSR	IKBKB	GNAI2	PLD1	CCND3	LAMTOR2	COL4A1	PRKAG2	PRICKLE4	KAT2B	CUL3	SMURF2	MAP2K2	KLF2	BMP8A	TLR9	NLRP7	RIPK1	JUN	GRB2	test	NFATC2	PPP3CC	MAP2K2	MAP3K7	IRAK1	GSK3B	MAP3K3	GNAI2	MAPK9	MED4	PRKAA2	CAMKK2	CALML5	MAPK14	PIK3CA	SMC1B
TAB1	GADD45G	KRAS	EGFR	CTNND1	ATP2B2	ADRA1D	ADCY5	CHUK	SYK	ARNT	IL6	GNAI3	PLD2	MDM2	GSK3B	COL4A2	RAB14	APC	NUMBL	CUL1	BMP2	SPHK2	GNA13	GDF6	MAPK1	GPRC6A	FADD	KRAS	IL19	test	NFATC3	PPP3R1	MAP2K3	TNF	IRAK2	HRAS	MAP3K4	GNAI3	MAPK10	GSK3B	PRKAB1	PIK3R6	PHKA1	CREB3L4	PIK3CB	SFN
GADD45G	MAP4K1	SHC4	EPHA2	CALML6	ATP2B3	PIK3R6	ADCY6	CCR1	MAP3K7	NFKB1	IL10	GNAQ	SPHK2	CDK1	HRAS	COL4A3	PDPK1	RHOA	CIR1	PTCH2	SKP1	RAF1	GNB5	LLGL2	MAPK3	NLRP1	ATG12	RHOA	SOCS7	test	NFKB1	PPP3R2	MAP2K6	TNFRSF1A	IRS1	IKBKB	MMP2	GNAO1	MAPK13	HDAC1	PRKAB2	CALML6	PHKA2	EDN1	PIM1	GSK3B
MAP4K1	DUSP10	NCK1	AKT1	DRD2	ATP2B4	ADRA1B	ADCY7	CCR3	BTK	PDK1	INS	PPP2R3B	PIP5K1A	IGF1	IGF1	COL4A4	CAB39	PRICKLE3	NCOR2	BTRC	BMP4	MAPK12	PPARGC1A	LLGL1	MAPK8	TAB2	ATG5	LSP1	HRAS	test	NFKBIA	PRKCB	MAP2K7	TNFRSF1B	KRAS	INS	MMP14	GNAQ	MAP2K1	HDAC2	PRKAG1	EGFR	PHKB	EDNRB	PIK3CD	ANAPC2
DUSP10	CHUK	NRAS	AKT2	LPAR1	P2RX1	ADRA1A	ADCY8	CCR4	TLR4	PIK3CA	INSR	HRAS	PIP5K1B	BAX	IGF1R	COL4A5	PRKAG3	LRP6	MAML1	KIF7	BMP5	SRC	PIK3R6	SMAD1	MAPK11	TAB3	ISG15	MDM2	IFNE	test	NFKBIB	MAPK1	RAC1	TRAF2	ARHGDIA	INSR	NRAS	GNAS	MAP2K2	HIF1A	MAPK8	PIK3R5	PHKG1	EGFR	PIK3R1	ANAPC4
CHUK	RASGRP4	PAK1	FGF1	EFNA1	P2RX3	ADRA2A	ADCY9	CCR5	TNF	PIK3CB	IRS1	KRAS	PIK3R3	SESN3	IKBKB	COL4A6	STRADB	LRP5	PTCRA	SUFU	BMP6	VEGFA	CALML6	SMAD2	MAPK9	PYDC1	IKBKE	NFATC1	IFNA1	test	NFKBIE	MAPK3	RAC2	TRAF5	ARHGDIB	IRS1	CALML5	GPER1	PRL	HRAS	MAPK9	GNAI1	PHKG2	AKT1	PIK3R2	HDAC1
RASGRP4	MAP3K8	PAK2	FGF2	EFNA2	P2RX4	ADRA2B	ADCY4	CCR6	TNFRSF1A	PIK3CD	ARAF	RHOA	SPHK1	DDB2	INS	COL6A1	PRKAA1	SMAD4	SNW1	CCND1	BMP7	MAPKAPK3	JAG1	SMAD3	MAPK10	PYCARD	TBKBP1	NFATC2	IFNA2	test	NRAS	MAP2K1	RAC3	ITCH	ARHGDIG	ARAF	PRKACA	GRB2	PRLR	ITGAV	MAPK10	GNAI2	PRKAG3	AKT2	PRKCA	HDAC2
MAP3K8	MAPK14	PAK3	FGF3	EFNA3	P2RX5	ADRA2C	PLCE1	CCR7	TRAF2	PIK3R1	KRAS	MAP3K5	AKT3	RCHY1	INSR	COL6A2	PRKAA2	SOST	HES1	BCL2	BMP8B	SPHK1	APLNR	SMAD4	MAPK13	TBK1	IFNE	NFATC3	IFNA4	test	PDPK1	MAP2K2	RAF1	CASP8	SHC4	KRAS	PRKACB	GRM1	RELA	ITGB3	RELA	GNAI3	PPARA	SHC2	PRKCB	MAD2L1
MAPK14	CSF1	SHC3	FGF4	EFNA4	P2RX7	ADRB1	PLD1	CCR8	TRAF3	PIK3R2	SMAD4	NRAS	LPAR6	SESN1	IRS1	COL6A3	PRKAB1	LEF1	HES5	CCND2	BMPR1A	MAPKAPK2	EGR1	SMAD7	MAP2K1	BIRC2	IFNA1	NFATC4	IFNA5	test	PPP3CA	PTPN6	MAP2K4	CASP10	MAP3K1	SHC4	PRKACG	HRAS	MAPK12	KRAS	STAT3	GNAO1	PPP3CA	GNA15	PRKCD	SMAD2
CSF1	DAXX	MAPK1	FGF5	EFNA5	PLCE1	ADRB2	PLD2	GRK7	TRAF5	EGLN1	FOXO4	OPRD1	LOC102723407	FAS	KRAS	COL9A1	PRKAB2	WNT16	DTX2	GAS1	BMPR1B	CDC42	AKT1	NF2	MAP2K2	BIRC3	IFNA2	NFKB1	IFNA6	test	PPP3CB	RAF1	SOS1	PIK3R3	MAP3K3	NRAS	PRKCA	KRAS	SHC1	MDM2	STK11	GNAQ	PPP4C	GNAI1	PRKCE	SMAD3
DAXX	GADD45A	MAPK3	FGF6	EGF	CALML5	ADRB3	ADCY10	CRK	TRAF6	PRKCA	NRAS	PDPK1	RAPGEF3	CD82	LAMTOR4	COL9A2	PRKAG1	NLK	DTX3L	LRP2	SP1	PLA2G4B	AKT2	PARD6A	MAP2K3	XIAP	IFNA4	NFKBIA	IFNA7	test	PPP3CC	SOS1	SOS2	IKBKG	MAP3K5	PRKAG2	PRKCB	SHC4	SOS1	NRAS	TNF	GNAS	PPP3CB	GNAI2	PRKCZ	SMAD4
